EmpID,PerfScoreID,Termd,Salary,Absences,Position,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
,,,,,HR Analyst,8,7,1,7
,,,,,HR Specialist,7,1,0,7
,,,,,Talent Acquisition Specialist,8,2,7,7
,,,,,HR Coordinator,4,3,1,2
,,,,,HR Analyst,13,12,11,9
,,,,,HR Specialist,5,4,0,4
,,,,,Talent Acquisition Specialist,7,7,1,7
,,,,,HR Coordinator,7,7,0,7
,,,,,HR Analyst,3,2,2,2
,,,,,HR Specialist,10,8,1,9
,,,,,Talent Acquisition Specialist,10,9,8,9
,,,,,HR Coordinator,21,9,13,3
,,,,,HR Analyst,1,0,0,0
,,,,,HR Specialist,7,7,0,1
,,,,,Talent Acquisition Specialist,3,2,1,1
,,,,,HR Coordinator,9,7,0,0
,,,,,HR Analyst,5,4,1,4
,,,,,HR Specialist,4,3,0,3
,,,,,Talent Acquisition Specialist,1,0,0,0
,,,,,HR Coordinator,10,9,9,8
,,,,,HR Analyst,4,3,0,2
,,,,,HR Specialist,7,7,0,7
,,,,,Talent Acquisition Specialist,3,2,2,2
,,,,,HR Coordinator,10,9,1,2
,,,,,HR Analyst,8,7,0,7
,,,,,HR Specialist,6,2,0,4
,,,,,Talent Acquisition Specialist,11,10,2,9
,,,,,HR Coordinator,11,9,4,10
,,,,,HR Analyst,7,7,1,7
,,,,,HR Specialist,16,6,0,13
,,,,,Talent Acquisition Specialist,4,2,0,2
,,,,,HR Coordinator,5,4,1,2
,,,,,HR Analyst,0,0,0,0
,,,,,HR Specialist,1,0,0,0
,,,,,Talent Acquisition Specialist,4,3,0,2
,,,,,HR Coordinator,3,2,1,0
,,,,,HR Analyst,8,0,0,7
,,,,,HR Specialist,0,0,0,0
,,,,,Talent Acquisition Specialist,7,7,6,7
,,,,,HR Coordinator,2,2,2,2
,,,,,HR Analyst,8,7,7,7
,,,,,HR Specialist,1,0,0,0
,,,,,Talent Acquisition Specialist,3,2,1,2
,,,,,HR Coordinator,1,0,0,0
,,,,,HR Analyst,13,9,1,12
,,,,,HR Specialist,3,2,1,2
,,,,,Talent Acquisition Specialist,7,7,1,7
,,,,,HR Coordinator,3,2,2,2
,,,,,HR Analyst,1,0,0,0
,,,,,HR Specialist,5,4,0,3
,,,,,Talent Acquisition Specialist,1,0,0,0
,,,,,HR Coordinator,8,7,7,7
,,,,,HR Analyst,4,3,1,3
,,,,,HR Specialist,6,4,1,0
,,,,,Talent Acquisition Specialist,2,2,2,2
,,,,,HR Coordinator,1,0,0,0
,,,,,HR Analyst,3,2,1,2
,,,,,HR Specialist,1,1,0,0
,,,,,Talent Acquisition Specialist,5,2,0,4
,,,,,HR Coordinator,7,5,0,7
,,,,,HR Analyst,5,2,0,0
,,,,,HR Specialist,7,7,0,7
,,,,,Talent Acquisition Specialist,2,2,2,2
,,,,,HR Coordinator,5,2,0,4
,,,,,HR Analyst,5,4,1,2
,,,,,HR Specialist,5,2,0,3
,,,,,Talent Acquisition Specialist,1,0,0,0
,,,,,HR Coordinator,6,4,0,4
,,,,,HR Analyst,2,1,1,2
,,,,,HR Specialist,10,9,9,0
,,,,,Talent Acquisition Specialist,1,0,0,0
,,,,,HR Coordinator,18,7,12,17
,,,,,HR Analyst,5,4,1,3
,,,,,HR Specialist,5,2,1,2
,,,,,Talent Acquisition Specialist,1,0,0,1
,,,,,HR Coordinator,25,10,3,9
,,,,,HR Analyst,1,0,0,0
,,,,,HR Specialist,4,2,1,2
,,,,,Talent Acquisition Specialist,3,2,1,2
,,,,,HR Coordinator,13,10,3,12
,,,,,HR Analyst,3,2,1,2
,,,,,HR Specialist,5,2,0,2
,,,,,Talent Acquisition Specialist,5,4,1,3
,,,,,HR Coordinator,13,11,10,7
,,,,,HR Analyst,4,2,3,2
,,,,,HR Specialist,21,8,1,6
,,,,,Talent Acquisition Specialist,7,7,7,7
,,,,,HR Coordinator,5,4,4,4
,,,,,HR Analyst,10,7,0,7
,,,,,HR Specialist,10,0,1,8
,,,,,Talent Acquisition Specialist,2,2,0,2
,,,,,HR Coordinator,5,4,0,4
,,,,,HR Analyst,2,2,0,2
,,,,,HR Specialist,5,2,1,4
,,,,,Talent Acquisition Specialist,5,4,0,2
,,,,,HR Coordinator,5,4,0,2
,,,,,HR Analyst,29,8,11,10
,,,,,HR Specialist,10,7,0,8
,,,,,Talent Acquisition Specialist,6,5,0,4
,,,,,HR Coordinator,5,3,1,4
,,,,,HR Analyst,2,2,1,0
,,,,,HR Specialist,1,0,0,0
,,,,,Talent Acquisition Specialist,20,15,1,12
,,,,,HR Coordinator,3,2,0,2
,,,,,HR Analyst,5,3,1,4
,,,,,HR Specialist,10,2,0,7
,,,,,Talent Acquisition Specialist,2,2,1,1
,,,,,HR Coordinator,1,0,0,0
,,,,,HR Analyst,9,8,7,8
,,,,,HR Specialist,1,0,0,0
,,,,,Talent Acquisition Specialist,27,10,15,7
,,,,,HR Coordinator,11,7,6,7
,,,,,HR Analyst,18,13,13,11
,,,,,HR Specialist,5,0,0,4
,,,,,Talent Acquisition Specialist,3,2,0,1
,,,,,HR Coordinator,5,4,4,3
,,,,,HR Analyst,1,0,0,0
,,,,,HR Specialist,7,3,5,7
,,,,,Talent Acquisition Specialist,3,2,1,2
,,,,,HR Coordinator,13,8,0,8
,,,,,HR Analyst,7,6,7,7
,,,,,HR Specialist,4,3,1,3
,,,,,Talent Acquisition Specialist,3,2,1,2
,,,,,HR Coordinator,8,7,0,0
,,,,,HR Analyst,1,0,0,0
,,,,,HR Specialist,3,2,0,2
,,,,,Talent Acquisition Specialist,2,2,2,0
,,,,,HR Coordinator,10,3,9,7
,,,,,HR Analyst,2,2,1,2
,,,,,HR Specialist,9,7,6,7
,,,,,Talent Acquisition Specialist,10,9,7,7
,,,,,HR Coordinator,14,3,1,10
,,,,,HR Analyst,11,9,6,9
,,,,,HR Specialist,20,6,5,13
,,,,,Talent Acquisition Specialist,8,3,0,7
,,,,,HR Coordinator,6,5,0,5
,,,,,HR Analyst,10,9,5,8
,,,,,HR Specialist,8,7,3,7
,,,,,Talent Acquisition Specialist,7,7,1,0
,,,,,HR Coordinator,3,2,1,2
,,,,,HR Analyst,6,1,0,5
,,,,,HR Specialist,5,4,0,1
,,,,,Talent Acquisition Specialist,0,0,0,0
,,,,,HR Coordinator,1,0,0,1
,,,,,HR Analyst,8,7,0,7
,,,,,HR Specialist,0,0,0,0
,,,,,Talent Acquisition Specialist,5,4,0,3
,,,,,HR Coordinator,10,7,5,7
,,,,,HR Analyst,1,0,0,0
,,,,,HR Specialist,6,5,1,2
,,,,,Talent Acquisition Specialist,2,2,1,2
,,,,,HR Coordinator,18,16,11,8
,,,,,HR Analyst,9,5,7,7
,,,,,HR Specialist,10,9,6,9
,,,,,Talent Acquisition Specialist,4,2,1,2
,,,,,HR Coordinator,2,2,2,1
,,,,,HR Analyst,1,0,0,0
,,,,,HR Specialist,6,5,4,3
,,,,,Talent Acquisition Specialist,31,9,0,9
,,,,,HR Coordinator,6,5,1,4
,,,,,HR Analyst,5,3,1,4
,,,,,HR Specialist,1,0,0,0
,,,,,Talent Acquisition Specialist,32,5,10,7
,,,,,HR Coordinator,7,4,0,6
,,,,,HR Analyst,6,3,1,2
,,,,,HR Specialist,1,0,0,0
,,,,,Talent Acquisition Specialist,6,5,1,3
,,,,,HR Coordinator,3,1,1,2
,,,,,HR Analyst,3,2,0,2
,,,,,HR Specialist,7,7,5,7
,,,,,Talent Acquisition Specialist,5,3,0,3
,,,,,HR Coordinator,3,0,1,0
,,,,,HR Analyst,1,0,0,0
,,,,,HR Specialist,10,2,2,2
,,,,,Talent Acquisition Specialist,1,0,0,0
,,,,,HR Coordinator,0,0,0,0
,,,,,HR Analyst,8,7,4,7
,,,,,HR Specialist,3,2,0,2
,,,,,Talent Acquisition Specialist,2,2,0,2
,,,,,HR Coordinator,8,2,0,6
,,,,,HR Analyst,4,3,0,2
,,,,,HR Specialist,3,2,1,2
,,,,,Talent Acquisition Specialist,2,2,0,1
,,,,,HR Coordinator,2,2,2,2
,,,,,HR Analyst,5,0,1,2
,,,,,HR Specialist,6,4,0,5
,,,,,Talent Acquisition Specialist,1,0,0,0
,,,,,HR Coordinator,14,7,8,10
,,,,,HR Analyst,10,9,8,8
,,,,,HR Specialist,1,1,0,0
,,,,,Talent Acquisition Specialist,3,2,0,2
,,,,,HR Coordinator,10,7,7,8
,,,,,HR Analyst,6,0,1,2
,,,,,HR Specialist,17,11,11,8
,,,,,Talent Acquisition Specialist,13,11,4,7
,,,,,HR Coordinator,9,7,7,1
,,,,,HR Analyst,3,2,0,2
,,,,,HR Specialist,4,2,1,1
,,,,,Talent Acquisition Specialist,1,0,1,1
,,,,,HR Coordinator,10,8,9,7
,,,,,HR Analyst,1,0,0,0
,,,,,HR Specialist,3,2,0,2
,,,,,Talent Acquisition Specialist,3,2,1,2
,,,,,HR Coordinator,7,7,0,5
,,,,,HR Analyst,10,7,2,8
,,,,,HR Specialist,2,2,2,2
,,,,,Talent Acquisition Specialist,6,5,0,4
,,,,,HR Coordinator,1,0,0,0
,,,,,HR Analyst,20,8,3,8
,,,,,HR Specialist,8,7,7,7
,,,,,Talent Acquisition Specialist,2,2,2,0
,,,,,HR Coordinator,20,7,11,10
,,,,,HR Analyst,10,7,0,8
,,,,,HR Specialist,4,3,1,3
,,,,,Talent Acquisition Specialist,9,7,1,8
,,,,,HR Coordinator,9,7,0,7
,,,,,HR Analyst,7,7,7,7
,,,,,HR Specialist,7,7,1,7
,,,,,Talent Acquisition Specialist,18,13,1,12
,,,,,HR Coordinator,5,1,1,3
,,,,,HR Analyst,21,6,12,6
,,,,,HR Specialist,2,2,2,2
,,,,,Talent Acquisition Specialist,9,7,1,7
,,,,,HR Coordinator,22,7,2,10
,,,,,HR Analyst,2,2,2,2
,,,,,HR Specialist,7,7,3,7
,,,,,Talent Acquisition Specialist,8,7,0,5
,,,,,HR Coordinator,1,0,0,0
,,,,,HR Analyst,5,2,1,4
,,,,,HR Specialist,22,2,11,13
,,,,,Talent Acquisition Specialist,8,7,7,7
,,,,,HR Coordinator,1,0,0,0
,,,,,HR Analyst,2,2,2,2
,,,,,HR Specialist,2,2,2,2
,,,,,Talent Acquisition Specialist,5,1,4,3
,,,,,HR Coordinator,4,3,0,2
